T_degC,Salnty
9.74,34.46
10.9,33.566
12.7,33.403
9.59,33.377
17.1,34.22
7.93,34.165
9.23,33.71
6.9,34.275
14.35,33.552
14.52,33.508
12.62,33.3
7.45,34.159
6.89,34.034
7.97,34.44
8.67,33.904
16.33,33.598
12.66,33.421
6.46,34.33
8.2,33.941
5.19,34.145
9.91,33.43
7.02,34.259
7.12,34.17
9.44,34.28
8.69,33.952
7.6,34.17
10.13,33.756
13.8,33.597
14.21,33.37
12.87,34.263
4.78,34.36
13.44,34.9
10.61,33.553
15.03,33.53
15.38,33.46
15.18,33.72
9.5,34.51
12.93,33.344
7.42,34.52
12.2,33.035
6.86,32.771
9.06,33.71
7.282,34.1265
13.79,33.389
10.76,33.424
8.47,33.975
7.55,34.029
6.75,34.356
8.5,34.338
5.64,34.223
6.95,34.244
17.01,33.538
7.1,34.205
19.21,33.516
14.14,34.092
26.86,35.53
7.86,33.975
8.83,34.071
9.56,33.749
11.94,33.393
10.65,33.792
5.94,34.269
8.98,34.229
8.25,34.15
6.41,34.241
12.45,33.355
5.43,34.45
9.85,33.4545
6.89,33.861
6.22,34.152
9.52,34.42
8.53,34.055
9.443,33.8378
18.27,33.421
5.09,34.239
11.25,33.95
15.43,32.958
12.46,33.404
15.54,33.3
8.98,34.291
7.73,34.021
16.48,33.343
14.41,33.412
8.68,34.237
18.75,33.477
16.66,33.653
10.06,33.652
18.69,33.637
3.84,34.53
6.92,34.334
13.35,33.34
15.19,33.69
14.47,33.581
6.7,34.42
4.27,34.498
8.18,33.538
8.45,34.18
15.85,33.73
9.3,33.93
19.63,34.34
4.22,34.45
8.12,34.44
8.44,34.126
10.9,33.66
10.86,33.735
13.35,33.147
14.05,33.637
16.96,33.75
4.6,34.137
5.69,34.287
6.92,34.09
9.79,33.816
14.38,33.32
12.71,33.912
14.88,33.07
8.35,34.18
9.73,33.72
10.385,33.7864
7.09,34.048
10.68,33.708
14.629,33.572
10.94,34.35
10.85,33.512
17.27,33.483
8.82,34.162
14.28,33.55
16.178,33.2402
14.95,33.278
9.21,33.783
7.87,33.66
14.5,33.46
8.37,34.013
7.42,34.45
16.04,33.35
8.42,34.315
10.52,33.391
5.92,34.43
19.51,33.49
5.87,34.41
13.33,33.454
8.22,34.013
11.75,33.401
14.44,33.127
15.98,33.51
7.633,34.2066
15.47,33.327
10.08,34.106
11.9,34.819
11.69,33.62
6.3,34.26
6.85,34.23
6.66,34.02
19.89,33.499
8.65,33.92
7.45,34.338
8.6,34.174
10.4,33.85
18.67,33.579
14.96,33.62
5.684,34.1922
15.5,32.29
15.14,33.601
12.28,33.326
4.16,34.45
9.66,33.581
7.1,34.02
9.1,34.11
15.94,33.563
14.9,33.496
9.39,34.181
15.02,33.515
8.27,34.048
8.95,33.912
16.81,33.879
14.34,33.326
9.69,33.937
10.34,33.595
12.37,33.58
15.99,33.541
10.94,34.094
12.88,33.589
11.5,33.526
13.58,33.4313
4.93,34.173
8.05,34.4
12.1,33.53
17.0,33.34
9.25,34.253
10.5,34.692
15.75,33.363
8.21,34.066
16.22,33.426
10.94,34.316
12.73,33.489
10.82,33.824
11.07,33.443
10.32,33.852
11.02,33.484
6.62,34.202
13.27,33.574
7.69,33.88
7.4,34.055
13.09,33.484
13.69,33.357
7.67,34.008
12.14,33.4
17.99,33.827
13.04,33.555
5.847,34.2434
6.78,34.34
5.91,34.241
8.11,34.255
17.08,33.2
6.06,34.079
25.0,35.28
7.63,34.045
6.16,34.43
8.89,33.898
16.12,33.3
11.06,33.51
8.02,33.958
6.86,34.229
10.15,33.911
4.45,34.258
15.59,33.451
9.49,33.61
14.04,33.591
8.64,34.041
15.31,33.333
15.66,33.24
17.25,33.13
6.746,34.297
6.38,34.28
16.93,33.541
5.61,34.386
11.54,33.597
14.58,33.26
14.379,33.1068
12.49,33.403
8.05,33.049
11.72,34.3
9.19,33.93
5.972,34.2725
10.64,33.98
8.47,33.935
12.83,33.51
5.74,34.23
6.6,34.217
10.33,34.253
9.58,33.89
9.15,34.034
11.94,33.55
25.42,34.595
15.79,33.833
5.91,34.04
6.1,34.132
8.025,34.2035
6.35,34.37
13.42,33.453
16.08,33.89
16.11,33.446
9.08,34.13
8.74,34.15
17.34,33.281
16.88,33.22
15.41,33.432
8.88,33.872
7.8,34.135
12.51,33.249
8.35,33.857
5.0,34.485
4.21,34.403
9.6,33.901
7.86,34.14
9.74,34.52
9.2,33.778
11.044,33.3028
12.59,33.36
16.73,33.679
10.73,34.51
7.08,34.04
15.1,33.56
17.55,33.575
7.72,34.062
16.16,33.3
5.86,34.262
16.62,33.53
20.5,33.388
16.9,33.877
6.32,34.19
9.18,33.39
14.66,33.448
8.53,33.89
9.71,34.01
14.01,33.63
7.16,33.98
8.22,34.06
11.81,33.098
17.56,33.327
13.92,33.13
1.8,34.666
15.4,33.56
14.88,33.603
13.69,33.417
14.22,33.17
7.96,33.98
15.7,33.681
12.15,34.02
14.13,33.62
5.7,34.157
9.41,34.26
19.24,33.784
14.81,34.31
13.95,33.68
14.19,33.52
14.38,33.388
6.9,34.215
7.36,34.257
14.7,33.23
7.84,34.03
10.63,33.067
4.86,34.502
11.31,33.52
14.81,32.899
14.47,33.022
9.29,33.8
15.55,33.565
14.78,35.302
18.46,33.6
10.8,32.6
3.27,34.582
15.44,34.18
6.92,34.241
15.879,33.3184
7.67,34.053
12.69,33.488
6.51,34.11
16.24,33.4
14.41,33.35
8.06,34.08
8.65,34.085
8.86,33.981
8.21,34.186
6.94,34.299
11.92,33.47
15.26,33.648
18.42,33.431
18.6,33.41
8.05,33.961
3.78,34.34
11.12,33.299
9.54,33.097
13.68,32.86
8.86,33.87
10.94,33.752
5.24,34.265
8.93,34.04
16.38,33.363
3.94,34.455
8.1,34.19
8.53,33.946
11.55,33.649
10.11,33.721
6.42,34.129
4.62,34.473
16.43,33.603
7.94,34.04
8.23,34.237
15.47,33.52
9.06,34.326
13.11,33.397
7.8,33.954
4.49,34.45
