date,AAPL,AMZN,MSFT,GOOG,XOM,APC,CVX,C,GS,JPM,AET,JNJ,DGX,SPY,XLF,SSO,SDS,USO
2017-01-03,112.6208,753.67,60.1715,786.14,83.316,68.7428,109.136,58.0193,235.3232,82.7023,120.0301,109.9246,88.5165,216.8377,22.7081,76.4006,58.5837,11.44
2017-01-04,112.4948,757.18,59.9023,786.9,82.3993,69.2908,109.1083,58.8045,236.8428,82.8548,121.144,109.7443,89.1101,218.1277,22.8916,77.3004,57.9144,11.58
2017-01-05,113.0669,780.45,59.9023,794.02,81.171,70.0736,108.636,57.7799,235.0796,82.0922,121.6619,110.8926,88.7463,217.9544,22.6598,77.162,57.9538,11.7
2017-01-06,114.3274,795.99,60.4215,806.15,81.1252,70.2008,108.2007,57.981,238.5671,82.1017,121.4176,110.3612,88.5346,218.7342,22.7371,77.7257,57.5207,11.68
2017-01-09,115.3745,796.92,60.2292,806.65,79.7868,68.4786,107.2747,57.665,236.609,82.1589,120.3623,110.3422,88.9291,218.0122,22.5825,77.2114,57.875,11.31
2017-01-10,115.4909,795.9,60.21,804.79,78.7693,68.0872,106.4597,57.6746,236.2973,82.3972,120.1078,110.2283,89.4775,218.0122,22.6308,77.2016,57.9144,11.07
2017-01-11,116.1114,799.02,60.7581,807.91,79.576,70.0638,107.358,57.416,239.4048,83.0169,120.0686,108.8713,89.7373,218.6283,22.7757,77.6268,57.6388,11.37
2017-01-12,115.6266,813.64,60.2004,806.36,79.1452,69.9562,107.571,56.717,237.5345,82.2161,120.0784,108.7669,89.5929,218.0796,22.5825,77.2708,57.875,11.54
2017-01-13,115.423,817.14,60.2869,807.88,79.1543,69.7116,107.7747,57.1,237.9826,82.6546,119.7553,108.748,89.1888,218.5802,22.7081,77.5971,57.6388,11.41
2017-01-17,116.3538,809.72,60.1235,804.61,80.0802,69.2027,107.6821,55.903,229.6439,79.6516,118.5118,109.0042,88.7655,217.81,22.1672,77.0433,58.0719,11.43
2017-01-18,116.3442,807.48,60.0946,806.07,79.0902,68.3905,107.3673,54.9551,228.2314,80.0234,118.4433,108.8429,89.439,218.2914,22.3507,77.3697,57.7963,11.16
2017-01-19,116.1405,809.04,59.9023,802.175,77.6693,68.6743,107.0339,54.256,225.4259,79.4133,120.0001,108.3684,88.0632,217.4827,22.2541,76.8357,58.2294,11.17
2017-01-20,116.3538,808.33,60.3254,805.02,78.7327,68.5275,107.0524,53.7294,226.1955,79.766,119.9707,108.3209,87.5532,218.2818,22.3604,77.2906,57.875,11.39
2017-01-23,116.4314,817.88,60.5369,819.31,77.8893,68.3612,106.8579,53.3176,226.6533,79.8041,116.7102,108.0932,87.6206,217.7138,22.2155,76.9543,58.1112,11.32
2017-01-24,116.3248,822.44,61.0754,823.87,77.9993,69.6528,107.7655,54.3326,227.6372,80.767,115.1535,106.053,87.8804,219.1097,22.4956,77.8641,57.4026,11.37
