Aesthetic Appreciation and Spanish Art:	['3', '0', '4', '3', '-1', '-2']	['amod', 'root', 'cc', 'amod', 'conj', 'punct']
Insights from Eye-Tracking	['0', '3', '0']	['root', 'case', 'nmod']
Claire Bailey-Ross claire.bailey-ross@port.ac.uk University of Portsmouth, United Kingdom	['0', '1', '0', '-1', '3', '0', '4', '3', '-6']	['root', 'flat', 'list', 'list', 'case', 'nmod', 'punct', 'amod', 'list']
Andrew Beresford a.m.beresford@durham.ac.uk Durham University, United Kingdom	['0', '1', '0', '3', '-2', '4', '3', '-5']	['root', 'flat', 'list', 'compound', 'list', 'punct', 'amod', 'list']
Daniel Smith daniel.smith2@durham.ac.uk Durham University, United Kingdom	['0', '1', '0', '3', '-2', '4', '3', '-5']	['root', 'flat', 'list', 'compound', 'list', 'punct', 'amod', 'list']
Claire Warwick c.l.h.warwick@durham.ac.uk Durham University, United Kingdom	['0', '1', '0', '3', '-2', '4', '3', '-5']	['root', 'flat', 'list', 'compound', 'list', 'punct', 'amod', 'list']
How do people look at and experience art?	['5', '4', '3', '0', '5', '3', '-1', '-2', '-3']	['advmod', 'aux', 'nsubj', 'root', 'case', 'cc', 'conj', 'obl', 'punct']
Which elements of specific artworks do they focus on?	['3', '8', '4', '3', '-1', '4', '3', '0', '-5', '0']	['det', 'obl', 'case', 'amod', 'nmod', 'aux', 'nsubj', 'root', 'case', 'punct']
Do museum labels have an impact on how people look at artworks?	['5', '3', '3', '0', '3', '0', '3', '0', '3', '0', '3', '0', '-7']	['aux', 'compound', 'nsubj', 'root', 'det', 'obj', 'case', 'nmod', 'nsubj', 'acl:relcl', 'case', 'obl', 'punct']
The viewing experience of art is a complex one, involving issues of perception, attention, memory, decision-making, affect, and emotion.	['4', '3', '8', '3', '0', '5', '4', '3', '0', '3', '0', '1', '3', '0', '3', '0', '3', '-2', '3', '-4', '3', '-6', '4', '3', '-9', '-15']	['det', 'compound', 'nsubj', 'case', 'nmod', 'cop', 'det', 'amod', 'root', 'punct', 'acl', 'obj', 'case', 'nmod', 'punct', 'conj', 'punct', 'conj', 'punct', 'conj', 'punct', 'conj', 'punct', 'cc', 'conj', 'punct']
Thus, the time it takes and the ways of visually exploring an artwork can inform about its relevance, interestingness, and even its aesthetic appeal.	['17', '1', '3', '14', '3', '0', '4', '3', '-3', '4', '3', '-1', '3', '0', '3', '0', '4', '3', '-1', '3', '0', '7', '6', '5', '4', '3', '-6', '-10']	['advmod', 'punct', 'det', 'nsubj', 'nsubj', 'acl:relcl', 'cc', 'det', 'conj', 'mark', 'advmod', 'acl', 'det', 'obj', 'aux', 'root', 'case', 'nmod:poss', 'obl', 'punct', 'conj', 'punct', 'cc', 'advmod', 'nmod:poss', 'amod', 'conj', 'punct']
This paper describes a collaborative pilot project focusing on a unique collection of 17th Century Zurbarán paintings.	['3', '3', '0', '5', '4', '3', '-2', '1', '5', '4', '3', '-2', '6', '3', '4', '3', '-3', '-13']	['det', 'nsubj', 'root', 'det', 'amod', 'compound', 'obj', 'acl', 'case', 'det', 'amod', 'obl', 'case', 'amod', 'compound', 'compound', 'nmod', 'punct']
The Jacob cycle at Auckland Castle is the only UK example of a continental collection preserved in situ in purpose-built surroundings.	['4', '3', '10', '4', '3', '-1', '6', '5', '4', '3', '0', '5', '4', '3', '-2', '1', '3', '0', '4', '3', '-3', '-9']	['det', 'compound', 'nsubj', 'case', 'compound', 'nmod', 'cop', 'det', 'amod', 'compound', 'root', 'case', 'det', 'amod', 'nmod', 'acl', 'case', 'obl', 'case', 'amod', 'obl', 'punct']
While studies of the psychology of art have focused on individual works and distinctions between representative / non-representative topics, no work has been completed on the aesthetic appreciation of collections or of devotional themes.	['10', '9', '4', '3', '-1', '3', '0', '3', '18', '4', '3', '-1', '3', '0', '6', '5', '3', '0', '-3', '-9', '3', '5', '4', '3', '0', '5', '4', '3', '-2', '3', '0', '5', '4', '3', '-3', '-9']	['advmod', 'nsubj', 'case', 'det', 'nmod', 'case', 'nmod', 'aux', 'advcl', 'case', 'amod', 'obl', 'cc', 'conj', 'case', 'amod', 'cc', 'conj', 'nmod', 'punct', 'det', 'nsubj:pass', 'aux', 'aux:pass', 'root', 'case', 'det', 'amod', 'obl', 'case', 'nmod', 'cc', 'case', 'amod', 'conj', 'punct']
In this paper, we report upon the novel insights eye-tracking techniques have provided into the unconscious processes of viewing the unique collection of Zurbarán artworks.	['4', '3', '5', '1', '3', '0', '5', '4', '3', '-2', '3', '4', '3', '-2', '5', '4', '3', '-2', '3', '0', '4', '3', '-1', '4', '3', '-1', '-19']	['case', 'det', 'obl', 'punct', 'nsubj', 'root', 'case', 'det', 'amod', 'obl', 'compound', 'nsubj', 'aux', 'acl:relcl', 'case', 'det', 'amod', 'obl', 'mark', 'acl', 'det', 'amod', 'obj', 'case', 'compound', 'nmod', 'punct']
The purpose of this pilot study was to assess the effects of different written interpretation on the visual exploration of artworks.	['3', '9', '5', '4', '3', '-2', '4', '3', '0', '3', '0', '5', '4', '3', '-2', '5', '4', '3', '-2', '3', '0', '-11']	['det', 'nsubj', 'case', 'det', 'compound', 'nmod', 'cop', 'mark', 'root', 'det', 'obj', 'case', 'amod', 'amod', 'nmod', 'case', 'det', 'amod', 'nmod', 'case', 'nmod', 'punct']
