year,value
1781,24.55890410958904
1782,13.712328767123287
1783,17.832876712328765
1784,16.57650273224044
1785,16.16986301369863
1786,24.167123287671235
1789,18.476712328767125
1790,15.501369863013698
1791,17.4756446991404
1792,18.117486338797814
1794,20.753424657534246
1795,14.487671232876712
1796,14.44475138121547
1797,14.198630136986301
1798,15.032876712328767
1800,16.016438356164382
1801,19.416438356164385
1802,11.37945205479452
1803,19.63013698630137
1804,16.968903436988544
1805,13.963013698630137
1806,13.481361426256077
1807,15.396825396825397
1808,16.23633879781421
1809,14.687671232876712
1810,14.23489010989011
1811,12.754794520547945
1812,15.904371584699453
1813,22.049397590361444
1814,21.04501216545012
1815,24.774074074074075
1816,20.02589395807645
1817,20.357409713574096
1818,18.72570725707257
1819,23.2260101010101
1820,17.293478260869566
1821,19.30807453416149
1822,15.856035437430787
1823,18.665745856353592
1824,16.27336860670194
1825,16.06637168141593
1826,18.396419437340153
1827,17.94869053981828
1828,15.623736029803087
1829,18.914679385267622
1830,19.290372670807454
1831,20.252832131822863
1832,18.167397020157757
1833,22.844265439202147
1834,17.816445830085737
1835,19.79906723668869
1836,23.088489208633092
1837,21.03177570093458
1838,21.51237175618588
1839,24.526138909634057
1840,19.52032
1841,20.278861033735687
1842,21.702272727272728
1843,25.75439024390244
1844,21.803571428571427
1845,25.884799044966176
1846,25.33757225433526
1847,18.904698581560282
1848,21.466161855182204
1849,21.538330855808027
1850,22.684177215189873
1851,21.423486932599726
1852,23.655778894472363
1853,20.013088632806944
1854,18.319815668202764
1855,20.438297872340424
1856,19.754664970313826
1857,19.547363954598495
1858,19.570974499747166
1859,19.2974853515625
1860,20.705288143077944
1861,19.573028415929667
1862,17.682710740376145
1863,20.436123142843837
1864,18.276149044826933
1865,14.30168321104877
1866,19.096556981323847
1867,21.39300582847627
1868,18.27333034513671
1869,20.18825138021774
1870,23.73847494553377
1871,20.022073308574196
1872,23.16620536098707
1873,22.961102860317208
1874,20.443586235925498
1875,21.678503713066835
1876,20.355867195152094
1877,18.795223208090835
1878,19.519860937893778
1879,19.565435750739525
1880,17.473947611597545
1881,16.001082320464906
1882,16.224439601392973
1883,15.486920790049208
1884,14.738744592004235
1885,15.485845615602203
1886,17.330447867859103
1887,20.80848916738575
1888,13.647087626888952
1889,20.669513376090045
1890,22.52200437903606
1891,20.15881485939647
1892,19.151516870406244
1893,22.371587686278556
1894,21.95661843125449
1895,18.969315973607543
1896,20.615409683051844
1897,19.466049670123592
1898,20.438329376830225
1899,19.08880477892572
1900,19.98708335834516
1901,21.326327149190814
1902,21.12683470293711
1903,24.31045266126142
1904,21.246552446661735
1905,22.219142329695767
1906,24.36971224936327
1907,22.19822102975879
1908,21.344341052507833
1909,23.44201773731115
1910,22.471918467519302
1911,22.21038556352623
1912,21.411189051344866
1913,21.83261365388643
1914,21.076053269127602
1915,21.426049186187843
1916,24.05745571230473
1917,24.39551061526755
1918,20.80888410051774
1919,21.05280647301202
1920,22.677904896950086
1921,24.157859291314576
1922,21.664219841551905
1923,22.182762125641567
1924,23.034999064855874
1925,21.5905836413743
1926,22.027314410462676
1927,22.740579106945813
1928,21.94677589680987
1929,22.409290166567676
1930,21.232873848928687
1931,22.942832990912784
1932,21.71006298150122
1933,22.854498968796527
1934,22.520066661008602
1935,21.246888567293777
1936,21.888817187911602
1937,22.068819570884923
1938,21.42730993008819
1939,22.313818985712256
1940,21.686095855655196
1941,22.072740524718185
1942,24.080012509754578
1943,22.007148469490236
1944,21.72233746654708
1945,23.503632598418832
1946,23.178985637862617
1947,23.906615701793424
1948,22.70226751796306
1949,23.020696429268217
1950,25.04251250000953
1951,22.578247995955802
1952,22.402483789218696
1953,22.203093444302645
1954,23.16521050482649
1955,24.51621608691846
1956,24.82428075395579
1957,23.632500944268642
1958,24.470336052777913
1959,23.667908302112778
1960,23.074449206531778
1961,24.09335689846991
1962,22.794522872991962
1963,22.33992882894798
1964,23.431975266355394
1965,21.756116826704716
1966,22.36940397181225
1967,23.44816571238877
1968,22.757174329932738
1969,22.951643414982826
1970,23.0464494777954
1971,22.748682855495943
1972,22.684269156021436
1973,25.35228070912025
1974,25.700333071458758
1975,24.02121516780033
1976,23.055407243355308
1977,22.89237582330943
1978,23.737281741065317
1979,23.40761859048128
1980,22.315970311109734
1981,24.232032876834953
1982,22.769102159672055
1983,25.75023129870047
1984,24.01752240883706
1985,23.171013982414987
1986,23.37208002404636
1987,22.71389403951347
1988,23.58082194149677
1989,24.113260820562235
1990,24.62848984870802
1991,23.895329769708013
1992,24.855889486187714
1993,24.466381893061815
1994,22.99315781254275
1995,25.14471836216694
1996,25.499577009485634
1997,24.181225204471975
1998,25.019620496775307
1999,23.215220807674616
2000,23.150496839647996
2001,22.0043799307589
2002,20.758892832612073
2003,21.980448155602176
2004,23.094032854775858
2005,21.750786646517618
2006,21.99091159168246
2007,23.29262572225304
2008,25.261759434105752
2009,25.887775979178898
2010,26.948279803214305
2011,26.862965873520515
2012,24.236097858799795
2013,26.39070257144093
2014,26.309089015202193
2015,28.58941572971734
2016,27.29057851670769
2017,28.086187987687566
2018,28.81807573254621
2019,27.960529783266626
2020,27.41637179932355
2021,24.93567300220267
