year,value
1763,150.08963585434174
1764,153.5928961748634
1765,150.75690607734808
1766,149.91988950276243
1767,146.07887323943663
1768,146.74585635359117
1769,156.98039215686273
1770,155.01666666666668
1771,157.54570637119113
1772,167.13774104683196
1773,153.21212121212122
1774,152.11484593837534
1775,148.12242090784045
1776,134.0068493150685
1777,133.3314917127072
1778,144.1825726141079
1779,150.89655172413794
1780,138.07607192254494
1781,145.97790055248618
1782,133.13241379310344
1783,144.3106796116505
1784,134.64027777777778
1785,134.9792817679558
1786,127.90568654646324
1787,144.49515905947442
1788,145.72954230235783
1789,141.88858321870703
1790,147.03591160220995
1791,153.67128987517336
1792,148.6151724137931
1793,148.41988950276243
1794,156.86914600550963
1795,143.87343532684284
1796,146.64786795048144
1797,153.12275862068967
1798,150.11707988980717
1799,128.3655172413793
1800,146.060773480663
1801,151.32918395573998
1802,153.10249307479225
1803,141.2722222222222
1804,142.34065934065933
1805,129.21745152354572
1806,148.6864640883978
1807,149.66436464088397
1808,135.7707182320442
1809,141.79504814305363
1810,142.09366391184574
1811,154.94642857142858
1812,130.05939226519337
1813,139.1106500691563
1814,137.3162705667276
1815,142.77515614156835
1816,134.56560773480663
1817,147.9377593360996
1818,150.79307958477509
1819,152.21769177608846
1820,146.57774706288873
1821,148.87206085753803
1822,162.7525844245348
1823,144.7681660899654
1824,148.51705170517053
1825,152.25734886300611
1826,147.7906976744186
1827,147.27647714604237
1828,151.9238042269188
1829,128.787979966611
1830,143.17954419121733
1831,148.65465631929047
1832,142.48679867986797
1833,142.0082682590721
1834,157.68334098210187
1835,140.5609195402299
1836,138.6312643678161
1837,131.71329958582604
1838,129.06094182825484
1839,142.4347426470588
1840,136.17782258064517
1841,143.23367427222658
1842,138.46915520628684
1843,137.58609668397924
1844,134.38443072702333
1845,132.75768035899205
1846,147.81777471581123
1847,133.60234321157822
1848,138.41214824982842
1849,137.52030282174812
1850,133.13372292884154
1851,140.56649778340721
1852,148.69566563467492
1853,137.05678042887345
1854,137.09677419354838
1855,128.97739361702128
1856,139.96109250193248
1857,159.95911745619728
1858,174.6991032879442
1859,172.31015173410404
1860,160.23232857394677
1861,154.1280573025856
1862,155.73230472516875
1863,162.56957708049114
1864,131.92533333333333
1865,147.894641782059
1866,144.56941828254847
1867,139.45256685535819
1868,141.6309070121951
1869,142.9529497215721
1870,147.5602309578423
1871,143.12272341536655
1872,145.36124298662062
1873,142.21963684230903
1874,142.0155119270973
1875,130.0075548408629
1876,135.28061536823614
1877,141.38508197842793
1878,145.30742295484797
1879,133.0016527083991
1880,139.6344435856416
1881,137.65603234857238
1882,131.76833417693044
1883,128.49263841385206
1884,132.57309701492537
1885,130.1481856408659
1886,134.09319599474722
1887,132.38594422900792
1888,129.7259118484122
1889,142.2066835231864
1890,137.8581338282946
1891,141.16271716054183
1892,150.37375594680964
1893,164.67779671767224
1894,173.87032573502097
1895,166.13304262474455
1896,168.70884296087988
1897,169.67093522880057
1898,168.57343972952586
1899,166.7247424327633
1900,175.3626561080972
1901,172.38999934533857
1902,172.3830224519665
1903,170.08917917805883
1904,170.05524492988735
1905,171.76135054227805
1906,175.45542698299826
1907,171.78634812807402
1908,178.9438673242787
1909,172.86294803617415
1910,179.58486790302302
1911,177.8050644038
1912,166.44779222983726
1913,176.12841573965193
1914,174.9540248768976
1915,170.30049046752632
1916,167.39257881373862
1917,162.53852688379712
1918,171.70631903555426
1919,168.5405347820659
1920,165.25696145402594
1921,181.1154687303478
1922,172.063236103146
1923,170.98158737000915
1924,165.44871750478592
1925,173.85712242862226
1926,170.4139000293923
1927,170.24754257766347
1928,171.9492534324752
1929,167.01286094762108
1930,173.61989476369544
1931,179.6381449605837
1932,169.9705187293466
1933,174.3099573981129
1934,180.45133088666987
1935,167.05181732471445
1936,167.1382495761294
1937,163.13865403313463
1938,171.6213861455473
1939,172.5488456961032
1940,162.9533598695607
1941,167.68349731149814
1942,167.0848427459169
1943,169.9683926246484
1944,169.54245603913287
1945,170.42358557492435
1946,175.27492550371028
1947,169.489646329546
1948,170.46040695239753
1949,173.84224944476662
1950,168.00926853681315
1951,168.77141698020063
1952,173.57276690628842
1953,179.8476198939293
1954,175.57416052922096
1955,171.79077207055718
1956,172.4094871922595
1957,174.80587528952444
1958,173.7939116201215
1959,174.36468786172898
1960,170.0400505014371
1961,176.277421747431
1962,175.4735327671297
1963,177.22826377313922
1964,176.00730266853688
1965,175.73940517378034
1966,174.82239519302271
1967,178.123210158221
1968,173.91869014914383
1969,172.07620350489506
1970,173.37652949383903
1971,175.4525305205178
1972,175.61065299916862
1973,178.42730125081937
1974,177.15691468333156
1975,177.85515841401156
1976,176.21888834281202
1977,181.00667230151333
1978,176.17243342198938
1979,178.1066320314863
1980,181.8127219180286
1981,184.9791172016779
1982,183.69849967280774
1983,184.3565576643871
1984,179.8688084716763
1985,176.0876734925396
1986,180.34361396576566
1987,181.4985721591964
1988,181.80199992273415
1989,177.72836168559292
1990,180.59987977418228
1991,178.89110135774638
1992,175.59749820380821
1993,173.55961371832754
1994,180.3865233373242
1995,178.80717544916425
1996,174.067980763565
1997,178.0949002650632
1998,184.8631101373105
1999,183.85707543344088
2000,181.23045122435647
2001,182.92262445421773
2002,182.3041474810642
2003,181.95147026311807
2004,179.0902428453071
2005,183.06178894061304
2006,185.28499760005215
2007,183.53461604306622
2008,179.04875247730124
2009,178.95442928199142
2010,177.37377599040443
2011,179.54373024289757
2012,179.71463543009997
2013,161.92582950848308
2014,163.23242578316535
2015,169.8162041239321
2016,170.3421100218572
2017,168.18825941306767
2018,164.2324677269989
2019,162.07648216139177
2020,170.0685264258177
2021,72.33262492962365
