year,value
1850,11.0
1851,22.676712328767124
1852,25.0
1853,19.13150684931507
1854,17.610958904109587
1855,14.621917808219179
1856,18.71311475409836
1857,14.293150684931506
1858,18.783561643835615
1859,16.208219178082192
1860,21.592896174863387
1861,18.04931506849315
1862,18.243835616438357
1863,18.08219178082192
1864,12.76775956284153
1865,20.03835616438356
1866,27.49041095890411
1867,22.40821917808219
1868,17.346994535519126
1869,19.775342465753425
1870,33.0
1871,16.477825464949927
1872,21.017790262172284
1873,19.705128205128204
1874,18.538812785388128
1875,22.02859778597786
1876,19.993548387096773
1877,16.042465753424658
1878,21.92600513259196
1879,17.172908366533864
1880,14.678723404255319
1881,15.988822012037833
1882,17.33497027655725
1883,17.43675
1884,14.783179012345679
1885,17.11183261183261
1886,18.606529209621993
1887,20.879282868525895
1888,14.5380859375
1889,19.376824413976117
1890,21.235593453445194
1891,19.127932598833443
1892,17.9087147030185
1893,20.32823622462431
1894,20.068826927907562
1895,18.755830333385507
1896,20.255024837600306
1897,18.320920353982302
1898,20.964728630484064
1899,18.990893009238025
1900,20.70265226488718
1901,21.2521756729407
1902,21.258813552477488
1903,23.347425718261437
1904,20.95919588369032
1905,20.45720958264276
1906,24.826331329372845
1907,21.815920222699884
1908,21.961457068516914
1909,24.01940076928268
1910,24.02533731589247
1911,22.49507258992135
1912,22.57651942584851
1913,22.2167969788841
1914,22.322801654852565
1915,20.680906646177487
1916,24.46687074158191
1917,24.56768463846675
1918,20.85847014471604
1919,21.88243187196565
1920,21.894351869792676
1921,22.436593436668076
1922,20.65633985947541
1923,20.640220957159396
1924,21.62323919929905
1925,20.17233042613765
1926,20.56911584297231
1927,20.76787933324763
1928,19.494764730818144
1929,19.837211746652372
1930,19.594587352625936
1931,21.122054344341134
1932,20.33578338106587
1933,21.804317634083574
1934,21.130308663411846
1935,20.203161652218256
1936,20.776948416703164
1937,21.939969349231863
1938,21.068231773767526
1939,21.690967870829475
1940,22.15500099094933
1941,21.573359043578865
1942,24.19716243401449
1943,22.666277039848197
1944,21.98976331360947
1945,23.986027591085957
1946,22.802385952630964
1947,23.11997150458689
1948,22.560038069053032
1949,22.810698163378888
1950,25.24198767888391
1951,22.910062678598727
1952,22.297587131367294
1953,22.30899633752073
1954,23.050187283398873
1955,24.456437143190026
1956,25.1894418252721
1957,23.019909133271202
1958,24.71088253732383
1959,24.093072235167593
1960,24.08348115175653
1961,24.590611765466555
1962,23.606747646909184
1963,22.474455449571884
1964,23.853565002827327
1965,22.10536988124701
1966,23.154100142946305
1967,24.308448453712504
1968,23.659858385017014
1969,24.092329240489505
1970,24.592643392769542
1971,23.484287612051933
1972,23.93338924298334
1973,26.79533096023236
1974,27.411548153829298
1975,26.115758679693105
1976,25.136870519515
1977,24.76548879202989
1978,25.3525704288534
1979,24.059113300492612
1980,23.407274001248098
1981,25.173274246150847
1982,23.509238818490882
1983,27.522581583451732
1984,25.969585519109934
1985,24.241749184362657
1986,24.37758321141185
1987,24.107657004555158
1988,25.600287141790616
1989,24.858734449788763
1990,26.399850540354105
1991,25.152869882013977
1992,25.646270262429436
1993,25.253035112801996
1994,23.754933642508263
1995,26.01581096995665
1996,26.09618591967666
1997,24.674209532219688
1998,25.562329199075048
1999,22.95572012977853
2000,23.33437862950058
2001,22.604095365160394
2002,22.27646539195851
2003,22.12662822678599
2004,23.95825668038699
2005,21.029717025351207
2006,21.259470788577417
2007,22.75127419703344
2008,24.520150217110668
2009,24.152270742840724
2010,25.188906256879925
2011,25.252477289193557
2012,23.759240985856387
2013,25.88354311392347
2014,26.84092349585671
2015,28.976636654080743
2016,26.976361891048715
2017,27.436538145250346
2018,29.298194075443874
2019,28.190322074220777
2020,27.40032111005637
2021,25.84024567428345
