year,value
1877,139.7173913043478
1878,127.11030176899064
1879,85.65108323831242
1880,93.5485636114911
1881,101.36301369863014
1882,100.07636363636364
1883,92.12889165628891
1884,98.5846994535519
1885,94.12414649286157
1886,94.02137608550434
1887,102.02601156069365
1888,89.73968079251513
1889,101.14196675900277
1890,96.36886395511921
1891,106.36926478717524
1892,111.74681609780947
1893,154.304400484457
1894,165.44661679700783
1895,155.1450112287456
1896,159.65930973189157
1897,152.4326137689615
1898,155.13983244478294
1899,144.40214888718342
1900,162.88332676389436
1901,157.04158163265305
1902,144.89695988038875
1903,156.63357030967586
1904,150.1639103761003
1905,163.92022126613398
1906,174.4263295553618
1907,175.76614723267062
1908,178.84853185595568
1909,168.86270893371758
1910,176.95344746716697
1911,182.5468069280629
1912,173.09434951252751
1913,181.13356973995272
1914,177.37334618417594
1915,173.84308736217133
1916,173.01496464397303
1917,169.32226726841583
1918,178.02030572667124
1919,175.76192547484413
1920,179.74467782128872
1921,189.37904801786712
1922,178.22493517718237
1923,174.65984783232847
1924,173.05460983249353
1925,171.1926387853318
1926,172.38593627579002
1927,169.79500580720094
1928,170.5961263889751
1929,165.71663358968
1930,174.37243207422134
1931,180.58234622091274
1932,174.9029304029304
1933,177.1074977416441
1934,184.3189070236567
1935,171.44108260709464
1936,168.6892385667138
1937,159.69405485208108
1938,159.97591852810442
1939,166.95980877202734
1940,158.95303220181987
1941,165.31091196089415
1942,169.11715053763442
1943,176.26807312089247
1944,166.888020409271
1945,175.12930217871804
1946,177.57204579822857
1947,175.02081401339515
1948,173.30239212007504
1949,169.71495553759095
1950,167.7350878515949
1951,168.72611464968153
1952,170.81563800904976
1953,173.4185047264394
1954,171.01377245508982
1955,163.79974104445404
1956,161.90378402465743
1957,162.83375503367662
1958,162.15742676089047
1959,166.33181303796167
1960,161.15433903985806
1961,168.99589358519344
1962,169.99531577207097
1963,169.86949221394718
1964,168.5870047104461
1965,170.826741269535
1966,172.45755584024954
1967,179.90191641124065
1968,176.30629306120096
1969,169.33139740967962
1970,169.74924664657723
1971,168.48851204964294
1972,172.99517568545468
1973,171.88555945170546
1974,170.12363564199245
1975,170.97584409810557
1976,166.605910041841
1977,172.0458594444044
1978,168.3096070514083
1979,173.59522646210974
1980,172.64407691931302
1981,178.41200581464625
1982,177.7142719730672
1983,177.4309883594823
1984,170.0872263570026
1985,170.16532992642013
1986,171.97643199478853
1987,170.68596799556008
1988,172.13942778980964
1989,168.27629797875514
1990,169.83758392235936
1991,168.62577835935386
1992,165.63541903505978
1993,169.62261423440924
1994,177.70101070703342
1995,172.66489577236504
1996,168.7342750705226
1997,173.37455546147334
1998,179.4674593495935
1999,179.3402110247148
2000,175.1997047104747
2001,174.3097572221888
2002,172.01254584443956
2003,174.2207984998828
2004,170.68527783081916
2005,175.62757037526993
2006,175.9428481087704
2007,175.61341315490864
2008,173.1901599875738
2009,172.4396550079188
2010,170.78540162801414
2011,173.97400336450062
2012,170.0908138023563
2013,152.53104733155672
2014,156.66656123789596
2015,160.11857905688285
2016,166.2706279057886
2017,162.5541707634663
2018,158.33826333278859
2019,157.74027172089902
2020,160.44371744378097
2021,69.39251792983136
