year,value
1878,19.3
1879,26.869444444444444
1880,15.23224043715847
1881,14.287671232876713
1882,13.175342465753424
1883,21.024657534246575
1884,13.983561643835616
1885,20.622710622710624
1886,14.552727272727273
1887,27.862222222222222
1888,15.939890710382514
1890,86.26666666666667
1891,25.0
1893,25.77716643741403
1894,27.917127071823206
1895,14.375770020533881
1896,12.176855895196507
1897,15.745205479452055
1898,12.084099868593956
1899,14.807855626326964
1900,15.92787177203918
1901,17.880617035546614
1902,13.513196480938417
1903,25.97048960429242
1904,16.548886138613863
1905,16.548993288590605
1906,20.193313069908815
1907,16.34414730381412
1908,14.258198422581984
1909,17.745043616177636
1910,14.23118074130684
1911,15.54496644295302
1912,15.350017624250968
1913,17.92532894736842
1914,18.820006922810663
1915,13.904512067156348
1916,16.979645436638215
1917,23.298651918423783
1918,20.37591823698499
1919,14.219324244220509
1920,20.16453859547301
1921,22.095012538311508
1922,18.164702658262538
1923,14.968880753138075
1924,19.628166915052162
1925,17.926706827309236
1926,15.514720558882235
1927,16.650717703349283
1928,18.021541950113377
1929,19.159826663267907
1930,18.622489959839356
1931,16.211438474870018
1932,15.41641791044776
1933,18.64271653543307
1934,19.442574257425743
1935,14.583251231527093
1936,17.0974911971831
1937,15.88076923076923
1938,14.806081871345029
1939,18.757791411042945
1940,20.72247191011236
1941,18.2328370554177
1942,19.705858907931447
1943,18.159226875287622
1944,12.770657276995305
1945,15.521805829498136
1946,16.638844621513943
1947,17.332114564290066
1948,14.818790662074244
1949,16.274725274725274
1950,18.919097627382342
1951,15.118219749652296
1952,15.724056137576596
1953,15.532493907392364
1954,17.059066745422328
1955,18.401033386327505
1956,21.254359925788496
1957,16.03573402099834
1958,18.089014805337232
1959,18.717983420740993
1960,18.849643221202854
1961,19.235621825331805
1962,16.687054533399635
1963,21.757345971563982
1964,21.32483552631579
1965,20.947186744908525
1966,17.936731683330603
1967,20.32402417115793
1968,18.20536007892141
1969,15.796564339112454
1970,19.892199967432013
1971,18.733233139207215
1972,18.888452180422984
1973,19.816618392469227
1974,22.9224188216994
1975,18.320045129748024
1976,19.511884388667045
1977,17.335708469055376
1978,18.658274956217163
1979,17.40616966580977
1980,16.873483535528596
1981,15.366321357725369
1982,18.452865064695008
1983,20.669976905311778
1984,18.807563673784408
1985,16.17095273083517
1986,17.009557945041816
1987,15.702994011976047
1988,18.425
1989,18.001018589253885
1990,20.725436408977558
1991,27.162694300518133
1992,22.808237986270022
1993,23.346521739130434
1994,20.434658414663176
1995,20.842072920934044
1996,19.080485115766262
1997,25.099118942731277
1998,19.790649884407912
1999,23.276205049732212
2000,22.218304381643765
2001,21.01260300533204
2002,17.763577411510404
2003,15.439463601532568
2004,16.598565083703452
2005,15.839347675225538
2006,14.196256038647343
2007,17.62710460943969
2008,20.308503625576797
2009,27.90357882283348
2010,29.108226291336432
2011,34.00999143591208
2012,25.9830220713073
2013,27.030860283238216
2014,34.53029710711493
2015,33.96390658174098
2016,28.80676240683512
2017,31.32139303482587
2018,32.504507888805406
2019,29.077740602243654
2020,27.475120076849183
2021,30.020057306590257
