year,value
1907,116.41379310344827
1908,201.5082508250825
1909,187.79192546583852
1910,203.3361344537815
1911,184.7078651685393
1912,175.3653846153846
1913,177.0
1914,188.12121212121212
1915,160.55707762557077
1916,195.5718232044199
1917,196.2089552238806
1918,132.6931216931217
1919,177.41899441340783
1920,172.22558922558923
1921,192.87106918238993
1922,202.4047619047619
1923,180.640350877193
1924,184.69340974212034
1925,201.1812865497076
1926,195.94972067039106
1927,135.32222222222222
1928,199.15662650602408
1929,188.35068493150686
1930,202.29305135951662
1931,184.34794520547945
1932,190.52197802197801
1933,206.09615384615384
1934,215.20110192837467
1935,199.39178082191782
1936,208.6694214876033
1937,204.89473684210526
1938,200.90883977900552
1939,203.0
1940,191.9268292682927
1941,184.1153846153846
1942,191.81593406593407
1943,202.5150684931507
1944,161.02514506769825
1945,132.95301027900146
1946,141.61042524005487
1947,120.55066079295155
1948,140.7641723356009
1949,155.67341306347745
1950,139.3897937024973
1951,119.86694101508917
1952,138.0728021978022
1953,140.52884615384616
1954,136.61432506887053
1955,124.99586776859505
1956,134.05737704918033
1957,126.87225274725274
1958,135.5331491712707
1959,40.55598086124402
1960,-14.126241134751773
1961,4.675840978593272
1962,-0.540500736377025
1963,48.285714285714285
1964,99.41245136186771
1966,245.25082508250824
1967,245.7
1968,237.50980392156862
1969,259.0485436893204
1973,232.60956175298804
1974,236.77557755775578
1975,227.43189368770763
1976,220.91176470588235
1977,227.90849673202615
1978,242.89370078740157
1981,290.10545454545456
1982,317.8085808580858
1983,327.2664233576642
1984,330.55855855855856
1985,316.1086556169429
1986,294.8010033444816
1987,277.63497453310697
1988,297.46875
1989,303.45454545454544
1990,299.2332474226804
1991,310.08741721854307
1992,293.630593132154
1993,294.7783558792924
1994,306.40163098878696
1995,306.5806451612903
1996,303.3008631319359
1997,286.1008482563619
1998,288.1372912801484
1999,287.20532319391634
2000,288.1200417536534
2001,287.88274547187797
2002,289.0602294455067
2003,286.240490797546
2004,285.8732394366197
2005,279.22381635581064
2006,260.3740022805017
2007,260.7887168141593
2008,251.8142414860681
2009,252.21021021021022
2010,231.96226415094338
2011,241.85714285714286
2012,233.80473372781066
2013,221.6565934065934
2014,237.92905866302866
2015,249.77335800185014
2016,246.0237603305785
2017,238.0966952264382
2018,228.27846364883402
2019,227.83565107458912
2020,222.96969696969697
2021,202.17777777777778
